region;comunaId;comuna;sector;poblacion;lat;lng;poder_adquisitivo;nivel_socioeconomico;clase_confianza;confirmaciones;elasticidad_precio;probabilidad_consumo_premium;nivel_educacional;densidad_comercial;perfil_consumo;subscore_ingreso;subscore_educacion;subscore_vivienda;subscore_empleo;subscore_consumo;confianza_score;heat_demanda;heat_oportunidad;oferta_locales;estado_heatmap;pobreza_ingresos_pct;pobreza_multidimensional_pct;hacinamiento_pct;carencia_servicios_basicos_pct;simce_4b_lectura;simce_4b_matematica;empresas_total;empresas_grandes_pct;empresas_micro_pct;empresas_per_1000hab;idd_proyeccion;iam_proyeccion;extranjeros_pct
valparaiso;valparaiso;Valparaíso;Costa;305000;-33.0472;-71.6127;45.6;Medio;alta;2/3;media;0.08;medio-bajo;baja;medio turistico estacional;0.356;0.398;0.814;0.155;0.557;1;81;14;12;estandar;7.4;19.1;6.7;12.1;258;244;14305;3.7;76.1;46.9;48.6;48.6;2.9
valparaiso;casablanca;Casablanca;Interior;33000;-33.3217;-71.4111;52.6;Medio;alta;2/3;media;0.15;medio-bajo;baja;medio agricola;0.247;0.575;0.878;0.551;0.527;1;9;20;0;estandar;8.2;19.6;6.1;14.4;264;249;2799;9.5;64.2;84.8;50.9;50.9;4.2
valparaiso;concon;Concón;Costa;50000;-32.9333;-71.5167;84.5;Alto;baja;0/3;baja;0.81;medio;media;premium costero/turistico;1;1;0.881;0.226;0.898;1;18;39;0;premium;2.7;13.4;6.3;11.2;281;267;3089;4.4;72.4;61.8;48;48;7.2
valparaiso;juan-fernandez;Juan Fernández;Insular;900;-33.6333;-78.8167;55.2;Medio;media;1/3;media;0.19;bajo;baja;medio turistico estacional;1;0.034;0.36;0.157;1;1;0;1;0;estandar;2.5;5.6;8.5;30.7;248;228;100;1;90;111.1;44.7;44.7;2.3
valparaiso;puchuncavi;Puchuncaví;Costa;19000;-32.7333;-71.4167;34.7;Medio-Bajo;baja;0/3;media-alta;0.03;bajo;baja;sensible al precio industrial;0.918;0;0.264;0.124;0;1;5;10;0;estandar;3.3;31.6;8.4;41.6;246;231;1436;1.9;79.5;75.6;55.9;55.9;3.4
valparaiso;quintero;Quintero;Costa;32000;-32.7833;-71.5333;29.3;Bajo;baja;0/3;media-alta;0.02;medio-bajo;baja;sensible al precio industrial;0.315;0.334;0.344;0.121;0.299;1;7;16;0;sensible-precio;7.7;23.4;9.1;23.7;256;242;1770;2.7;79.8;55.3;54.3;54.3;3.7
valparaiso;vina-del-mar;Viña del Mar;Costa;330000;-33.0245;-71.5518;61.5;Medio;alta;3/3;media-baja;0.3;medio;baja;medio turistico estacional;0.479;0.72;0.856;0.231;0.808;1;100;6;37;estandar;6.5;14.9;6.5;10.8;269;253;24264;4;73.4;73.5;49.7;49.7;4.6
valparaiso;isla-de-pascua;Isla de Pascua;Insular;8000;-27.1212;-109.3667;48.4;Medio;media;1/3;media;0.1;medio-bajo;baja;medio turistico estacional;0.63;0.319;0;0.588;0.952;1;2;5;0;estandar;5.4;12.5;12.2;68;256;241;413;11.6;61.3;51.6;39.7;39.7;3.7
valparaiso;los-andes;Los Andes;Cordillera;70000;-32.8333;-70.5833;54.7;Medio;alta;2/3;media;0.18;medio-bajo;media;medio agricola;0.26;0.661;0.956;0.178;0.79;1;20;44;0;estandar;8.1;15.2;6.2;4.9;269;249;4001;3.7;76.8;57.2;51.8;51.8;4.6
valparaiso;calle-larga;Calle Larga;Cordillera;14000;-32.85;-70.6333;45.6;Medio;alta;2/3;media;0.08;medio-bajo;baja;medio urbano;0.411;0.516;0.377;0.192;0.832;1;4;8;0;estandar;7;14.5;9.6;13.3;264;245;720;4.2;78.5;51.4;53;53;1.9
valparaiso;rinconada;Rinconada;Cordillera;8500;-32.85;-70.7167;27.1;Bajo;baja;0/3;media-alta;0.01;medio-bajo;baja;sensible al precio urbano;0.26;0.394;0.385;0.052;0.198;1;2;4;0;sensible-precio;8.1;25.1;9.6;12.5;262;239;574;0.9;77.5;67.5;52.9;52.9;1.8
valparaiso;san-esteban;San Esteban;Cordillera;19000;-32.7833;-70.5833;34.1;Medio-Bajo;media;1/3;media-alta;0.03;medio-bajo;baja;sensible al precio urbano;0.205;0.401;0.568;0.126;0.443;1;5;10;0;estandar;8.5;21;8.5;10.3;259;243;1092;2.7;80.9;57.5;52.8;52.8;1.6
valparaiso;la-ligua;La Ligua;Norte;38000;-32.45;-71.2333;31.8;Medio-Bajo;media;1/3;media-alta;0.02;medio-bajo;baja;sensible al precio rural-agricola;0.247;0.394;0.539;0.097;0.287;1;9;19;0;estandar;8.2;23.6;8.2;17.5;262;239;2689;1.6;81.4;70.8;53.4;53.4;3
valparaiso;cabildo;Cabildo;Norte;19000;-32.4333;-71.0833;30.9;Medio-Bajo;media;1/3;media-alta;0.02;medio-bajo;baja;sensible al precio minero periferico;0.151;0.44;0.4;0.168;0.473;1;4;10;0;estandar;8.9;20.5;10;5.3;257;248;1404;2.8;78.1;73.9;54.4;54.4;1.7
valparaiso;papudo;Papudo;Costa;7000;-32.5167;-71.45;38.9;Medio-Bajo;media;1/3;media-alta;0.04;medio-bajo;baja;sensible al precio urbano;0.37;0.298;0.457;0.28;0.569;1;2;4;0;estandar;7.3;18.9;8.7;18.4;259;236;582;4.5;74.1;83.1;50.8;50.8;3.3
valparaiso;petorca;Petorca;Norte;9000;-32.25;-70.9333;52.4;Medio;media;1/3;media;0.15;medio-bajo;baja;medio minero;0.753;0.403;0.52;0.044;0.713;1;3;5;0;estandar;4.5;16.5;8.7;12.2;260;242;576;0.9;82.6;64;54;54;1.8
valparaiso;zapallar;Zapallar;Costa;8000;-32.55;-71.4667;65.8;Medio-Alto;media;1/3;media-baja;0.4;medio-bajo;baja;premium costero/turistico;0.781;0.671;0.618;1;0.108;1;3;5;0;estandar;4.3;26.6;7.6;18.4;267;252;1412;14;53.7;176.5;51.8;51.8;2.2
valparaiso;quillota;Quillota;Interior;95000;-32.8833;-71.25;60.3;Medio;alta;2/3;media-baja;0.27;medio-bajo;alta;medio agricola;0.644;0.56;0.791;0.156;0.772;1;29;62;0;estandar;5.3;15.5;7.3;5.7;264;248;6075;3;77.8;63.9;52.5;52.5;5.6
valparaiso;calera;La Calera;Interior;55000;-32.7833;-71.2;48.4;Medio;alta;2/3;media;0.1;medio-bajo;media;medio industrial;0.397;0.516;0.682;0.135;0.701;1;15;32;0;estandar;7.1;16.7;7.9;7.8;264;245;2999;3;78.5;54.5;52.9;52.9;4.8
valparaiso;hijuelas;Hijuelas;Interior;18000;-32.8;-71.15;22.7;Bajo;media;1/3;alta;0.01;bajo;baja;sensible al precio urbano;0.123;0.167;0.267;0.326;0.365;1;4;8;0;sensible-precio;9.1;22.3;9.9;19.8;254;233;1308;5.8;75.6;72.7;50.3;50.3;2.8
valparaiso;la-cruz;La Cruz;Interior;17000;-32.8333;-71.2333;63.1;Medio;media;1/3;media-baja;0.33;bajo;baja;medio urbano;0.932;0.155;0.768;0.249;0.862;1;5;11;0;estandar;3.2;14;7.3;8;255;231;1498;3.7;78.1;88.1;50.5;50.5;4.6
valparaiso;nogales;Nogales;Interior;26000;-32.7333;-71.2;44.6;Medio-Bajo;baja;0/3;media;0.07;bajo;baja;sensible al precio minero periferico;0.603;0.182;0.463;0.112;0.796;1;7;15;0;estandar;5.6;15.1;9.1;12;254;234;1160;3;76.7;44.6;54.2;54.2;1.3
valparaiso;san-antonio;San Antonio;Costa;95000;-33.5833;-71.6167;48.3;Medio;alta;2/3;media;0.1;medio-bajo;alta;medio industrial;0.466;0.467;0.503;0.146;0.85;1;26;56;0;estandar;6.6;14.2;8.8;12.4;262;244;5630;3;76.2;59.3;52.2;52.2;3.6
